,Unnamed: 0,Ligand,Receptor,EM,Target,Sender.group,Receiver.group,Ligand_sclog2FC,Receptor_sclog2FC,EM_sclog2FC,Target_sclog2FC,Path,SigWeight_5X,SigWeight_WT,log2FC,adjlog2FC,Ligand_pr_log2FC,Ligand_pr_adjlog2FC,Receptor_pr_log2FC,Receptor_pr_adjlog2FC,EM_pr_log2FC,EM_pr_adjlog2FC,Target_pr_log2FC,Target_pr_adjlog2FC,Ligand_ps_log2FC,Ligand_ps_adjlog2FC,Receptor_ps_log2FC,Receptor_ps_adjlog2FC,EM_ps_log2FC,EM_ps_adjlog2FC,Target_ps_log2FC,Target_ps_adjlog2FC,Ligand_py_log2FC,Ligand_py_adjlog2FC,Receptor_py_log2FC,Receptor_py_adjlog2FC,EM_py_log2FC,EM_py_adjlog2FC,Target_py_log2FC,Target_py_adjlog2FC,sc_up,sc_down,pr_up,pr_down,ps_up,ps_down,py_up,py_down,RNA_score,pr_score,ps_score,py_score,final_score,final_score_wKinase,Kinase_R_of_EM,Kinase_R_of_T,Kinase_EM_of_T,Kinase_R_of_EM_EIcondition1,Kinase_R_of_EM_EIcondition2,Kinase_R_of_T_EIcondition1,Kinase_R_of_T_EIcondition2,Kinase_EM_of_T_EIcondition1,Kinase_EM_of_T_EIcondition2,Kinase_score_5X,Kinase_score_WT,Path.ID
44,45,Lrfn5,Ptprs,Ntrk2,Ipcef1,Excitatory.neurons,Excitatory.neurons,0.0591015220707671,-0.0045516056427122,0.179178200288887,0.03825965512059,Lrfn5*Ptprs*Ntrk2*Ipcef1,0.291187849485153,0.248083845641378,0.231122361867616,0.101906733331505,-0.127200237789237,-0.0022010106290433,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,-0.100374902828065,-0.0657586486343457,,,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,,,,,,,0.0,0.0,,,3,1,1,3,2,0,0,1,0.101555426046769,-0.0156902931547201,0.0334597560240015,0,0.11044015748141,0.11044015748141,,,,,,,,,,0.0,0.0,Lrfn5*Ptprs*Ntrk2*Ipcef1*Excitatory.neurons*Excitatory.neurons
45,46,Lrfn5,Ptprs,Ntrk2,Dmtn,Excitatory.neurons,Excitatory.neurons,0.0591015220707671,-0.0045516056427122,0.179178200288887,0.0968769512257763,Lrfn5*Ptprs*Ntrk2*Dmtn,0.628318933965108,0.597916238033917,0.0715536636568942,0.0715536636568942,-0.127200237789237,-0.0022010106290433,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,-0.0997309810882284,-0.0997309810882284,,,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,0.0075772376573898,0.0075772376573898,,,,,0.0,0.0,,,3,1,1,3,3,0,0,1,0.0714317967243998,-0.0241246964427541,0.0353540291855529,0,0.0770464630957992,0.0770464630957992,,,,,,,,,,0.0,0.0,Lrfn5*Ptprs*Ntrk2*Dmtn*Excitatory.neurons*Excitatory.neurons
46,47,Lrfn5,Ptprs,Ntrk2,Kcnj9,Excitatory.neurons,Excitatory.neurons,0.0591015220707671,-0.0045516056427122,0.179178200288887,-0.0630631160524204,Lrfn5*Ptprs*Ntrk2*Kcnj9,0.532597017103074,0.545792993797682,-0.0353095267099216,-0.0351957938169796,-0.127200237789237,-0.0022010106290433,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,-0.0765684776913771,-0.001349070501331,,,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,,,,,,,0.0,0.0,,,2,2,1,3,2,0,0,1,-0.0351812681560396,0.0003884463699228,0.0334597560240015,0,-0.0182571669590774,-0.0182571669590774,,,,,,,,,,0.0,0.0,Lrfn5*Ptprs*Ntrk2*Kcnj9*Excitatory.neurons*Excitatory.neurons
47,48,Lrfn5,Ptprs,Ntrk2,Camkv,Excitatory.neurons,Excitatory.neurons,0.0591015220707671,-0.0045516056427122,0.179178200288887,-0.115224573448841,Lrfn5*Ptprs*Ntrk2*Camkv,0.665471404582341,0.675726907664582,-0.0220636302263316,-0.0220636302263316,-0.127200237789237,-0.0022010106290433,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,-0.111897543688711,-0.111897543688711,,,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,0.0647143651166602,0.0647143651166602,,,,,0.0,0.0,,,2,2,1,3,3,0,0,1,-0.0220600507038174,-0.0271324976238866,0.0496158000344659,0,-0.0108183994985278,-0.0108183994985278,,,,,,,,,,0.0,0.0,Lrfn5*Ptprs*Ntrk2*Camkv*Excitatory.neurons*Excitatory.neurons
48,49,Lrfn5,Ptprs,Ntrk2,Atcay,Excitatory.neurons,Excitatory.neurons,0.0591015220707671,-0.0045516056427122,0.179178200288887,0.0086425319310216,Lrfn5*Ptprs*Ntrk2*Atcay,0.575276690713238,0.562396210977054,0.0326691411253337,0.0326691411253337,-0.127200237789237,-0.0022010106290433,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,-0.0366669671358398,-0.0326942662758657,,,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,,,,,,,0.0,0.0,,,3,1,1,3,2,0,0,1,0.0326575237898117,-0.007444941740208,0.0334597560240015,0,0.0456649309317084,0.0456649309317084,,,,,,,,,,0.0,0.0,Lrfn5*Ptprs*Ntrk2*Atcay*Excitatory.neurons*Excitatory.neurons
49,50,Lrfn5,Ptprs,Ntrk2,Slc50a1,Excitatory.neurons,Excitatory.neurons,0.0591015220707671,-0.0045516056427122,0.179178200288887,-0.176074218708515,Lrfn5*Ptprs*Ntrk2*Slc50a1,0.566126680665163,0.613103182407862,-0.115004975977175,-0.115004975977175,-0.127200237789237,-0.0022010106290433,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,,,,,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,,,,,,,0.0,0.0,,,2,2,1,2,2,0,0,1,-0.114500619940073,0.0007257137906477,0.0334597560240015,0,-0.0974078850327479,-0.0974078850327479,,,,,,,,,,0.0,0.0,Lrfn5*Ptprs*Ntrk2*Slc50a1*Excitatory.neurons*Excitatory.neurons
50,51,Lrfn5,Ptprs,Ntrk2,Klc2,Excitatory.neurons,Excitatory.neurons,0.0591015220707671,-0.0045516056427122,0.179178200288887,0.0165695323619768,Lrfn5*Ptprs*Ntrk2*Klc2,0.522861801168053,0.506550407261452,0.0457238347599198,0.0436154676105712,-0.127200237789237,-0.0022010106290433,-0.0902497700065452,-0.0902497700065452,0.124245145864787,0.0953977459224786,,,,,0.230319103751404,0.103014698141602,0.147060358974954,0.0311973012667061,,,,,,,0.0,0.0,,,3,1,1,2,2,0,0,1,0.0435878319399401,0.0007257137906477,0.0334597560240015,0,0.0606805668472647,0.0606805668472647,,,,,,,,,,0.0,0.0,Lrfn5*Ptprs*Ntrk2*Klc2*Excitatory.neurons*Excitatory.neurons
51,52,Syt1,Stx1a,Dlg4,Grin2a,Excitatory.neurons,Excitatory.neurons,-0.103579283011961,0.0467937794671115,0.236225585299372,0.0288111813968336,Syt1*Stx1a*Dlg4*Grin2a,0.537204395543508,0.467499006721979,0.200507809550577,0.196682151476098,-0.126499329704612,-0.126499329704612,-0.409960141360824,-0.409960141360824,-0.0951424699885132,-0.0951424699885132,-0.126087447034081,-0.126087447034081,-0.209930019755952,-0.209930019755952,-0.383120100148587,-0.383120100148587,-0.0623504625655674,-0.0572442390848237,0.0146018461827197,0.0146018461827197,0.0,0.0,,,0.0,0.0,0.0,0.0,3,1,0,4,1,3,0,3,0.19418464744173,-0.18363690505007,-0.153723631625486,0,0.0255043791039524,0.0255043791039524,,,,,,,,,,0.0,0.0,Syt1*Stx1a*Dlg4*Grin2a*Excitatory.neurons*Excitatory.neurons
52,53,Syt1,Stx1a,Dlg4,Grin2b,Excitatory.neurons,Excitatory.neurons,-0.103579283011961,0.0467937794671115,0.236225585299372,0.0978667817506634,Syt1*Stx1a*Dlg4*Grin2b,0.544895375262335,0.473143755540605,0.203700661220233,0.202709257071084,-0.126499329704612,-0.126499329704612,-0.409960141360824,-0.409960141360824,-0.0951424699885132,-0.0951424699885132,-0.0439680761525628,-0.0439680761525628,-0.209930019755952,-0.209930019755952,-0.383120100148587,-0.383120100148587,-0.0623504625655674,-0.0572442390848237,0.0374105778547751,0.0374105778547751,0.0,0.0,,,0.0,0.0,0.0,0.0,3,1,0,4,1,3,0,3,0.199977634792117,-0.163265974408554,-0.148025550014009,0,0.0443318725808352,0.0443318725808352,,,,,,,,,,0.0,0.0,Syt1*Stx1a*Dlg4*Grin2b*Excitatory.neurons*Excitatory.neurons
53,54,Syt1,Stx1a,Snap25,Gria2,Excitatory.neurons,Excitatory.neurons,-0.103579283011961,0.0467937794671115,-0.053864320192355,0.0172175847961439,Syt1*Stx1a*Snap25*Gria2,0.688487054997508,0.671665911801067,0.0356857174009851,0.0356857174009851,-0.126499329704612,-0.126499329704612,-0.409960141360824,-0.409960141360824,-0.0568695097714712,-0.0568695097714712,-0.065882797425021,-0.065882797425021,-0.209930019755952,-0.209930019755952,-0.383120100148587,-0.383120100148587,0.0746593121041717,0.0716150817330258,0.127462969294651,0.0504432156004126,0.0,0.0,,,,,0.0,0.0,2,2,0,4,2,2,0,2,0.0356705768780896,-0.159215906864632,-0.112605041577854,0,-0.100239897343154,-0.100239897343154,,,,,,,,,,0.0,0.0,Syt1*Stx1a*Snap25*Gria2*Excitatory.neurons*Excitatory.neurons
